osm_id,name,category,lat,lon,city,country,address,phone,website,opening_hours,wifi,wheelchair,operator,brand,quality,cost_tier,timezone,visa,osm_url
964021841,MHC Guesthouse,guesthouse,13.7281661,100.5719475,Bangkok,Thailand,,+6622599884,https://www.mhc-guesthouse.com/,,wlan,no,,,6,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/964021841
971363511,We Train Intl. House,hostel,13.9389596,100.5843484,Bangkok,Thailand,,,www.we-train.co.th,,,,,,3,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/971363511
1607319416,Wendy House,guesthouse,13.7482306,100.5296591,Bangkok,Thailand,,+66 2 214 1149,https://www.wendyguesthouse.com/evos/front/bin/home.phtml,,wlan,,,,6,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/1607319416
2241969409,At Home Guest House,guesthouse,13.7586273,100.4993749,Bangkok,Thailand,Tanao Road,+66818747267,,,wlan,,,,4,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2241969409
2403971309,Sidthi,guesthouse,13.760067,100.4941391,Bangkok,Thailand,รามบุตรี,+66 2 282 3090,,24/7,wlan,,,,6,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2403971309
2408310584,ETZ Hostel,hostel,13.7241696,100.5483429,Bangkok,Thailand,,+6622869424,http://www.etzhostel.com,,wlan,no,,,6,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2408310584
2409395730,Lee Travel Inn,guesthouse,13.7207814,100.5480203,Bangkok,Thailand,"Sri Bumpen Alley (Saphan Khu), Rama IV Rd., Sathon",(662)-6798116,https://www.leetravelinn.com/,,wlan,,,,7,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2409395730
2426034168,Slumber Party Pool Party Khao San,guesthouse,13.7585271,100.4962923,Bangkok,Thailand,Mayom,,https://www.liveslumberparty.com/,,wlan,,Slumber Party,,6,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2426034168
2507993713,De Talak Hostel,guesthouse,13.7205958,100.5616379,Bangkok,Thailand,,+66868874028,,,,,,,2,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2507993713
2572645362,Marriott Vacation Club,guesthouse,13.7189289,100.5311883,Bangkok,Thailand,,+66 2 2108000,https://www.marriottvacationclub.com/vacation-resorts/marriott-empire-place-resort/overview.shtml,,yes,,The Empire Place,,7,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2572645362
2621872482,Serene Bangkok Bed & Breakfast,guesthouse,13.8301625,100.5637193,Bangkok,Thailand,Soi Ratchadapisek 46/1,+66 2 9302009;+66 2 9302291;+66 81 8270842,http://baanserene.com,,,,,,6,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2621872482
2653354678,Lilly's Hostel,hostel,13.7632352,100.4991595,Bangkok,Thailand,,091 104 3445,,24/7,wlan,,,,5,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2653354678
2703771524,Shanti Lodge,guesthouse,13.7719701,100.5035084,Bangkok,Thailand,ถนนศรีอยุธยา,,https://www.shantilodge.com/page/shanti-bangkok,,,,,,4,1,UTC+7,visa-free 60d,https://www.openstreetmap.org/node/2703771524
